Datetime,P_exp,P
2023-10-01 07:37:30,1994.95,1456.0
2023-10-01 07:38:16,2004.61,1546.78
2023-10-01 07:41:50,1990.03,1422.44
2023-10-01 07:43:45,1998.98,1551.63
2023-10-01 07:47:18,1924.54,1273.37
2023-10-01 07:48:16,1356.09,1009.64
2023-10-01 07:50:25,1186.2,744.41
2023-10-01 07:50:47,1809.24,1457.2
2023-10-01 07:56:14,2003.39,1631.25
2023-10-01 07:56:27,1770.36,1142.58
2023-10-01 07:59:03,1846.22,1251.34
2023-10-01 07:59:21,1719.33,1112.86
2023-10-01 07:59:44,568.69,233.62
2023-10-01 08:00:03,1000.28,776.96
2023-10-01 08:04:05,1971.29,1454.03
2023-10-01 08:04:14,809.56,582.46
2023-10-01 08:08:06,1100.66,818.02
2023-10-01 08:09:09,2001.15,1587.96
2023-10-01 08:10:13,1052.66,545.87
2023-10-01 08:10:26,1938.21,1104.54
2023-10-01 08:11:40,1499.58,1246.25
2023-10-01 08:12:32,1716.85,1220.12
2023-10-01 08:12:47,1320.11,1008.9
2023-10-01 08:17:34,1760.02,960.12
2023-10-01 08:17:43,1874.84,1085.3
2023-10-01 08:18:41,1027.6,831.48
2023-10-01 08:19:10,1615.98,1268.02
2023-10-01 08:21:16,1819.37,1297.99
2023-10-01 08:28:01,1908.87,1226.56
2023-10-01 08:29:06,1978.42,1577.73
2023-10-01 08:30:43,1080.58,1070.6
2023-10-01 08:31:25,1925.08,1470.36
2023-10-01 08:31:45,1952.26,1320.31
2023-10-01 08:36:56,974.38,831.92
2023-10-01 08:38:35,1732.39,1392.75
2023-10-01 08:43:06,1934.49,1448.77
2023-10-01 08:44:34,663.9,696.22
2023-10-01 08:45:29,1002.21,734.15
2023-10-01 08:45:40,1950.63,1456.47
2023-10-01 08:46:42,1515.56,1096.68
2023-10-01 08:47:50,1474.41,1012.02
2023-10-01 08:48:48,1345.73,920.66
2023-10-01 08:50:26,1833.34,1220.05
2023-10-01 08:51:06,856.28,654.51
2023-10-01 08:51:23,926.83,757.11
2023-10-01 08:52:06,1702.97,1405.63
2023-10-01 08:53:03,1622.61,961.87
2023-10-01 08:53:45,1440.98,944.66
2023-10-01 08:58:42,1886.58,1327.0
2023-10-01 08:59:06,483.24,110.7
2023-10-01 08:59:31,1988.78,1601.9
2023-10-01 09:02:32,1146.14,841.77
2023-10-01 09:05:20,1874.25,1170.99
2023-10-01 09:05:24,1434.31,1116.16
2023-10-01 09:06:13,1743.02,1198.85
2023-10-01 09:06:33,1869.04,1402.86
2023-10-01 09:06:36,1599.25,1204.71
2023-10-01 09:08:28,746.47,499.9
2023-10-01 09:09:17,1781.43,1344.73
2023-10-01 09:10:54,2003.64,1603.64
2023-10-01 09:11:14,1580.71,1329.72
2023-10-01 09:12:01,1578.01,749.72
2023-10-01 09:13:25,1927.45,1445.94
2023-10-01 09:13:31,1725.4,1324.55
2023-10-01 09:15:13,1649.91,1132.23
2023-10-01 09:16:24,1747.62,969.79
2023-10-01 09:22:41,1741.92,1263.56
2023-10-01 09:24:01,1905.86,1463.54
2023-10-01 09:30:19,678.16,304.88
2023-10-01 09:41:29,1870.1,1447.61
2023-10-01 09:42:39,1072.01,450.51
2023-10-01 09:43:03,1667.15,1015.44
2023-10-01 09:45:33,616.39,449.81
2023-10-01 09:47:18,1966.23,1472.8
2023-10-01 09:48:00,819.38,743.47
2023-10-01 09:48:03,1533.26,1149.53
2023-10-01 09:48:15,1771.29,1271.6
2023-10-01 09:49:18,1688.28,1101.01
2023-10-01 09:50:29,1030.18,455.92
2023-10-01 09:52:15,1718.11,1030.24
2023-10-01 09:54:02,1169.47,806.88
2023-10-01 09:54:19,1208.15,724.9
2023-10-01 09:56:24,1652.04,1120.64
2023-10-01 09:57:00,483.29,402.27
2023-10-01 10:00:43,2007.68,1562.85
2023-10-01 10:03:58,1711.87,1388.54
2023-10-01 10:04:05,939.59,428.28
2023-10-01 10:09:06,2009.16,1650.41
2023-10-01 10:10:28,1797.97,1186.31
2023-10-01 10:10:30,1985.94,1380.1
2023-10-01 10:12:19,1838.43,1088.41
2023-10-01 10:12:30,1135.02,1076.91
2023-10-01 10:12:36,1988.94,1520.36
2023-10-01 10:13:01,1646.94,755.56
2023-10-01 10:14:47,1766.32,1102.57
2023-10-01 10:16:39,1726.85,1311.42
2023-10-01 10:17:30,1761.37,938.71
2023-10-01 10:17:58,2007.14,1626.1
2023-10-01 10:19:49,1744.45,1288.53
2023-10-01 10:20:48,1963.03,1062.82
2023-10-01 10:21:36,518.41,230.99
2023-10-01 10:22:14,1254.58,685.67
2023-10-01 10:24:04,1340.64,1118.11
2023-10-01 10:26:28,1279.84,971.29
2023-10-01 10:26:55,1140.8,1000.19
2023-10-01 10:36:17,1417.21,1097.19
2023-10-01 10:37:16,1891.76,1416.08
2023-10-01 10:38:03,1700.95,1070.25
2023-10-01 10:45:21,1345.25,950.7
2023-10-01 10:49:00,1712.67,981.5
2023-10-01 10:49:19,1845.59,1276.04
2023-10-01 10:49:41,1526.76,1038.43
2023-10-01 10:49:48,1179.71,548.9
2023-10-01 10:52:07,1024.43,859.54
2023-10-01 10:52:50,1228.86,930.37
